iter	Passed	Remaining
0	143	143786
1	145	72634
2	147	48926
3	150	37437
4	152	30263
5	153	25442
6	156	22141
7	158	19599
8	159	17603
9	162	16064
10	166	14966
11	169	13974
12	171	13022
13	173	12194
14	174	11481
15	176	10866
16	179	10369
17	180	9866
18	182	9409
19	183	9000
20	185	8629
21	186	8294
22	188	7987
23	189	7699
24	190	7448
25	192	7220
26	194	7016
27	197	6845
28	198	6650
29	200	6471
30	201	6302
31	203	6142
32	204	5991
33	206	5875
34	209	5766
35	211	5661
36	213	5546
37	217	5516
38	219	5406
39	223	5364
40	225	5270
41	227	5180
42	230	5128
43	232	5045
44	233	4962
45	235	4882
46	238	4845
47	240	4770
48	242	4701
49	243	4634
50	245	4570
51	247	4507
52	248	4444
53	250	4384
54	252	4330
55	253	4278
56	256	4240
57	258	4191
58	259	4139
59	262	4117
60	264	4072
61	266	4030
62	268	3991
63	271	3975
64	273	3935
65	275	3897
66	277	3859
67	278	3821
68	281	3800
69	283	3770
70	286	3753
71	288	3716
72	289	3681
73	291	3648
74	293	3614
75	300	3647
76	301	3615
77	303	3582
78	304	3552
79	306	3521
80	307	3490
81	309	3459
82	309	3421
83	312	3404
84	313	3378
85	315	3355
86	317	3332
87	318	3305
88	320	3282
89	322	3257
90	323	3231
91	325	3216
92	327	3196
93	329	3173
94	332	3166
95	334	3150
96	336	3136
97	338	3114
98	341	3110
99	345	3109
100	347	3090
101	348	3069
102	350	3051
103	352	3033
104	353	3014
105	355	2998
106	358	2991
107	361	2983
108	362	2965
109	364	2947
110	365	2930
111	367	2913
112	368	2895
113	370	2878
114	373	2871
115	374	2857
116	378	2853
117	379	2837
118	381	2824
119	383	2811
120	385	2802
121	387	2789
122	390	2782
123	392	2769
124	393	2757
125	395	2744
126	398	2740
127	400	2725
128	401	2713
129	403	2699
130	405	2686
131	407	2677
132	408	2664
133	410	2654
134	412	2641
135	413	2627
136	415	2618
137	417	2609
138	419	2600
139	421	2589
140	424	2588
141	425	2572
142	427	2559
143	431	2565
144	433	2555
145	435	2547
146	437	2537
147	438	2526
148	441	2519
149	442	2507
150	445	2503
151	449	2508
152	451	2496
153	452	2485
154	454	2478
155	456	2467
156	457	2457
157	459	2448
158	460	2437
159	464	2440
160	466	2428
161	468	2425
162	470	2415
163	472	2407
164	475	2408
165	478	2404
166	481	2399
167	482	2391
168	484	2383
169	486	2375
170	488	2367
171	490	2361
172	494	2362
173	495	2353
174	498	2347
175	501	2349
176	504	2344
177	505	2335
178	507	2325
179	510	2326
180	512	2318
181	514	2310
182	515	2301
